date,open,high,low,close,volume
2015-09-22,193.880000,194.460000,192.560000,193.910000,153890876
2015-09-23,194.110000,194.670000,192.910000,193.600000,92790620
2015-09-24,192.150000,193.450000,190.560000,192.900000,159378840
2015-09-25,194.640000,195.000000,191.810000,192.850000,155054777
2015-09-28,191.780000,191.910000,187.640000,188.010000,178515871
2015-09-29,188.270000,189.740000,186.930000,188.120000,159045572
2015-09-30,190.370000,191.825000,189.440000,191.630000,163452044
2015-10-01,192.080000,192.490000,189.820000,192.130000,131078964
2015-10-02,189.770000,195.030000,189.120000,195.000000,211003342
2015-10-05,196.460000,198.740000,196.330000,198.470000,126320842
2015-10-06,198.310000,198.980000,197.000000,197.790000,110274530
2015-10-07,198.900000,199.825000,197.480000,199.410000,124307295
2015-10-08,198.950000,201.550000,198.590000,201.210000,153055231
2015-10-09,201.380000,201.900000,200.580000,201.330000,107069240
2015-10-12,201.420000,201.760000,200.910000,201.520000,56395585
2015-10-13,200.650000,202.160000,200.050000,200.250000,88038718
2015-10-14,200.180000,200.870000,198.940000,199.290000,99106161
2015-10-15,200.080000,202.360000,199.640000,202.350000,134142195
2015-10-16,202.830000,203.290000,201.920000,203.270000,114580052
2015-10-19,202.500000,203.370000,202.130000,203.370000,76523897
2015-10-20,202.850000,203.840000,202.547100,203.090000,78448484
2015-10-21,203.610000,203.790000,201.650000,201.850000,102038033
2015-10-22,202.980000,205.510000,201.850000,205.260000,174911723
2015-10-23,207.250000,207.950000,206.300000,207.510000,144442340
2015-10-26,207.300000,207.370000,206.560000,207.000000,69032965
2015-10-27,206.200000,207.000000,205.790000,206.600000,77905770
2015-10-28,207.000000,208.980000,206.210000,208.950000,135906725
2015-10-29,208.350000,209.270000,208.210000,208.830000,90525498
2015-10-30,209.060000,209.440000,207.740000,207.930000,131076942
2015-11-02,208.320000,210.620000,208.170000,210.390000,86270811
2015-11-03,209.970000,211.660000,209.700000,211.000000,95246052
2015-11-04,211.350000,211.500000,209.720100,210.360000,96224477
2015-11-05,210.430000,210.980000,209.090000,210.150000,78408744
2015-11-06,209.740000,210.320000,208.460000,210.040000,110471473
2015-11-09,209.310000,209.490000,206.950000,208.080000,131008660
2015-11-10,207.510000,208.600000,207.190000,208.560000,75874602
2015-11-11,208.880000,208.940000,207.660000,207.740000,67845971
2015-11-12,206.500000,207.060000,204.820000,204.840000,121315200
2015-11-13,204.350000,204.670000,202.435000,202.540000,153577050
2015-11-16,202.320000,205.690000,202.180000,205.620000,117645231
2015-11-17,205.990000,207.040000,204.880000,205.470000,121123744
2015-11-18,206.040000,208.900000,205.990000,208.730000,121342544
2015-11-19,208.590000,209.050000,208.200000,208.550000,88220465
2015-11-20,209.450000,210.120000,208.860000,209.310800,94011519
2015-11-23,209.380000,209.980000,208.520000,209.070000,64931172
2015-11-24,207.870000,209.830000,207.410000,209.350000,98874365
2015-11-25,209.500000,209.740000,209.010000,209.320000,51980062
2015-11-27,209.430000,209.800000,208.860000,209.560000,37317779
2015-11-30,209.750000,209.890000,208.560000,208.690000,112822700
2015-12-01,209.440000,210.820000,209.110000,210.680000,97858418
2015-12-02,210.615000,211.000000,208.230000,208.529000,108441259
2015-12-03,208.830000,209.150000,204.751100,205.610000,166224154
2015-12-04,206.080000,209.970000,205.930000,209.620000,192913879
2015-12-07,209.230000,209.729500,207.200000,208.350000,102027111
2015-12-08,206.490000,208.289000,205.780000,206.949000,103372367
2015-12-09,206.190000,208.680000,204.180000,205.340000,162401537
2015-12-10,205.420000,207.430000,205.140000,205.870000,116128884
2015-12-11,203.350000,204.140000,201.510000,201.880000,211173305
2015-12-14,202.070000,203.050000,199.950000,202.900800,182385177
2015-12-15,204.700000,206.110000,202.866600,205.030800,154069569
2015-12-16,206.365000,208.390000,204.800000,208.030000,197017008
2015-12-17,208.400000,208.480000,204.840000,204.860000,173092476
2015-12-18,202.770000,202.930000,199.830000,200.020800,251393535
2015-12-21,201.410000,201.880000,200.090000,201.670000,99094290
2015-12-22,202.715000,203.850000,201.550000,203.500000,111026246
2015-12-23,204.690000,206.070000,204.580000,206.020000,110987228
2015-12-24,205.720000,206.330000,205.420000,205.680000,48542150
2015-12-28,204.860000,205.260000,203.940000,205.210000,65899939
2015-12-29,206.510000,207.790000,206.470000,207.400000,92640672
2015-12-30,207.110000,207.210000,205.760000,205.930000,63317679
2015-12-31,205.130000,205.890000,203.870000,203.870000,114877859
2016-01-04,200.490000,201.030000,198.590000,201.019200,222353534
2016-01-05,201.400000,201.900000,200.050000,201.360000,110845849
2016-01-06,198.340000,200.060000,197.600000,198.820000,152112604
2016-01-07,195.330000,197.440000,193.590000,194.050000,213436073
